timestep,displacement_am,amp_local_emarms_am,freq_local_cross_rHz
1,-0.114708,0.013908,0.000000
2,0.174803,0.025256,0.000000
3,0.143147,0.030386,0.000000
4,0.029625,0.030221,0.000000
5,0.030155,0.030067,0.000000
6,0.081147,0.031279,0.000000
7,0.087716,0.032669,0.000000
8,0.052733,0.032889,0.000000
9,0.013468,0.032519,0.000000
10,-0.012868,0.032151,0.001281
11,-0.025343,0.031899,0.001281
12,-0.032454,0.031745,0.001281
13,-0.047895,0.031883,0.001281
14,-0.071917,0.032670,0.001281
15,-0.087172,0.033950,0.001281
16,-0.082928,0.035001,0.001281
17,-0.067754,0.035528,0.001281
18,-0.053830,0.035686,0.001281
19,-0.042555,0.035617,0.001281
20,-0.028243,0.035338,0.001281
21,-0.006845,0.034907,0.001281
22,0.020046,0.034557,0.001281
23,0.045125,0.034562,0.001281
24,0.061159,0.034927,0.001281
25,0.068521,0.035478,0.001281
26,0.073062,0.036138,0.001281
27,0.076745,0.036880,0.001281
28,0.075179,0.037543,0.001281
29,0.064235,0.037884,0.001281
30,0.045009,0.037807,0.001281
31,0.022341,0.037434,0.001281
32,0.000830,0.036967,0.001281
33,-0.018256,0.036572,0.001718
34,-0.036815,0.036391,0.001718
35,-0.055702,0.036566,0.001718
36,-0.071527,0.037136,0.001718
37,-0.079503,0.037919,0.001718
38,-0.078448,0.038635,0.001718
39,-0.071056,0.039113,0.001718
40,-0.060123,0.039307,0.001718
41,-0.046112,0.039217,0.001718
42,-0.027934,0.038876,0.001718
43,-0.005399,0.038396,0.001718
44,0.018891,0.037986,0.001718
45,0.040549,0.037833,0.001718
46,0.056802,0.037991,0.001718
47,0.068045,0.038413,0.001718
48,0.075476,0.039022,0.001718
49,0.078398,0.039690,0.001718
50,0.074740,0.040229,0.001718
51,0.063499,0.040466,0.001718
52,0.046100,0.040350,0.001718
53,0.025619,0.039968,0.001718
54,0.004672,0.039473,0.001718
55,-0.015999,0.039029,0.002156
56,-0.036493,0.038795,0.002156
57,-0.055491,0.038897,0.002156
58,-0.070018,0.039339,0.002156
59,-0.077611,0.039971,0.002156
60,-0.078016,0.040590,0.002156
61,-0.072581,0.041038,0.002156
62,-0.062540,0.041230,0.002156
63,-0.048101,0.041131,0.002156
64,-0.029102,0.040771,0.002156
65,-0.006561,0.040270,0.002156
66,0.016739,0.039819,0.002156
67,0.037678,0.039587,0.002156
68,0.054635,0.039650,0.002156
69,0.067449,0.040000,0.002156
70,0.075894,0.040559,0.002156
71,0.078829,0.041177,0.002156
72,0.074940,0.041666,0.002156
73,0.064060,0.041873,0.002156
74,0.047708,0.041753,0.002156
75,0.028243,0.041374,0.002156
76,0.007405,0.040868,0.002156
77,-0.014065,0.040394,0.002572
78,-0.035296,0.040119,0.002572
79,-0.054309,0.040162,0.002572
80,-0.068600,0.040523,0.002572
81,-0.076541,0.041080,0.002572
82,-0.077995,0.041655,0.002572
83,-0.073708,0.042095,0.002572
84,-0.064272,0.042294,0.002572
85,-0.049780,0.042200,0.002572
86,-0.030593,0.041838,0.002572
87,-0.008307,0.041328,0.002572
88,0.014443,0.040850,0.002572
89,0.035274,0.040566,0.002572
90,0.052895,0.040570,0.002572
91,0.066679,0.040872,0.002572
92,0.075787,0.041395,0.002572
93,0.078969,0.041984,0.002572
94,0.075276,0.042453,0.002572
95,0.064935,0.042656,0.002572
96,0.049436,0.042549,0.002572
97,0.030615,0.042181,0.002572
98,0.009766,0.041672,0.002572
99,-0.012166,0.041178,0.002967
100,-0.033752,0.040870,0.002967
101,-0.052830,0.040865,0.002967
102,-0.067235,0.041170,0.002967
103,-0.075696,0.041680,0.002967
104,-0.078051,0.042233,0.002967
105,-0.074658,0.042678,0.002967
106,-0.065716,0.042892,0.002967
107,-0.051320,0.042811,0.002967
108,-0.032227,0.042457,0.002967
109,-0.010286,0.041946,0.002967
110,0.012133,0.041449,0.002967
111,0.033068,0.041127,0.002967
112,0.051274,0.041087,0.002967
113,0.065787,0.041351,0.002967
114,0.075438,0.041847,0.002967
115,0.078953,0.042419,0.002967
116,0.075636,0.042882,0.002967
117,0.065937,0.043095,0.002967
118,0.051193,0.043008,0.002967
119,0.032828,0.042657,0.002967
120,0.011956,0.042150,0.002967
121,-0.010243,0.041642,0.003343
122,-0.032025,0.041306,0.003343
123,-0.051213,0.041260,0.003343
124,-0.065874,0.041521,0.003343
125,-0.074924,0.041997,0.003343
126,-0.078116,0.042541,0.003343
127,-0.075482,0.042995,0.003343
128,-0.066973,0.043228,0.003343
129,-0.052788,0.043166,0.003343
130,-0.033959,0.042826,0.003343
131,-0.012375,0.042318,0.003343
132,0.009843,0.041807,0.003343
133,0.030957,0.041456,0.003343
134,0.049680,0.041379,0.003343
135,0.064798,0.041611,0.003343
136,0.074931,0.042084,0.003343
137,0.078832,0.042644,0.003343
138,0.076012,0.043109,0.003343
139,0.067001,0.043339,0.003343
140,0.052921,0.043277,0.003343
141,0.034911,0.042946,0.003343
142,0.014049,0.042444,0.003343
143,-0.008286,0.041927,0.003699
144,-0.030186,0.041565,0.003699
145,-0.049511,0.041483,0.003699
146,-0.064505,0.041705,0.003699
147,-0.074185,0.042156,0.003699
148,-0.078159,0.042695,0.003699
149,-0.076181,0.043162,0.003699
150,-0.068087,0.043415,0.003699
151,-0.054212,0.043375,0.003699
152,-0.035742,0.043052,0.003699
153,-0.014508,0.042551,0.003699
154,0.007575,0.042030,0.003699
155,0.028893,0.041654,0.003699
156,0.048082,0.041545,0.003699
157,0.063720,0.041748,0.003699
158,0.074293,0.042199,0.003699
159,0.078630,0.042749,0.003699
160,0.076392,0.043220,0.003699
161,0.068081,0.043472,0.003699
162,0.054598,0.043437,0.003699
163,0.036902,0.043128,0.003699
164,0.016094,0.042634,0.003699
165,-0.006294,0.042109,0.004038
166,-0.028266,0.041725,0.004038
167,-0.047748,0.041609,0.004038
168,-0.063133,0.041796,0.004038
169,-0.073460,0.042225,0.004038
170,-0.078156,0.042761,0.004038
171,-0.076768,0.043241,0.004038
172,-0.069103,0.043516,0.004038
173,-0.055615,0.043499,0.004038
174,-0.037551,0.043197,0.004038
175,-0.016646,0.042706,0.004038
176,0.005342,0.042178,0.004038
177,0.026872,0.041779,0.004038
178,0.046476,0.041640,0.004038
179,0.062558,0.041814,0.004038
180,0.073546,0.042245,0.004038
181,0.078368,0.042786,0.004038
182,0.076765,0.043265,0.004038
183,0.069141,0.043540,0.004038
184,0.056206,0.043533,0.004038
185,0.038810,0.043247,0.004038
186,0.018101,0.042764,0.004038
187,-0.004276,0.042233,0.004360
188,-0.026282,0.041828,0.004360
189,-0.045941,0.041680,0.004360
190,-0.061754,0.041835,0.004360
191,-0.072718,0.042244,0.004360
192,-0.078075,0.042777,0.004360
193,-0.077241,0.043269,0.004360
194,-0.070037,0.043565,0.004360
195,-0.056996,0.043573,0.004360
196,-0.039371,0.043293,0.004360
197,-0.018790,0.042813,0.004360
198,0.003128,0.042281,0.004360
199,0.024867,0.041862,0.004360
200,0.044834,0.041696,0.004360
201,0.061305,0.041841,0.004360
202,0.072711,0.042249,0.004360
203,0.078068,0.042782,0.004360
204,0.077127,0.043271,0.004360
205,0.070169,0.043570,0.004360
206,0.057745,0.043592,0.004360
207,0.040647,0.043329,0.004360
208,0.020080,0.042858,0.004360
209,-0.002223,0.042324,0.004666
210,-0.024239,0.041899,0.004666
211,-0.044103,0.041720,0.004666
212,-0.060371,0.041845,0.004666
213,-0.071946,0.042233,0.004666
214,-0.077920,0.042763,0.004666
215,-0.077623,0.043266,0.004666
216,-0.070908,0.043582,0.004666
217,-0.058360,0.043616,0.004666
218,-0.041199,0.043361,0.004666
219,-0.020926,0.042895,0.004666
220,0.000948,0.042360,0.004666
221,0.022879,0.041923,0.004666
222,0.043153,0.041729,0.004666
223,0.059971,0.041845,0.004666
224,0.071808,0.042230,0.004666
225,0.077735,0.042755,0.004666
226,0.077462,0.043254,0.004666
227,0.071146,0.043576,0.004666
228,0.059216,0.043627,0.004666
229,0.042428,0.043389,0.004666
230,0.022053,0.042931,0.004666
231,-0.000130,0.042395,0.004957
232,-0.022159,0.041952,0.004957
233,-0.042258,0.041745,0.004957
234,-0.058984,0.041839,0.004957
235,-0.071133,0.042208,0.004957
236,-0.077685,0.042732,0.004957
237,-0.077927,0.043244,0.004957
238,-0.071734,0.043581,0.004957
239,-0.059710,0.043642,0.004957
240,-0.043014,0.043412,0.004957
241,-0.023024,0.042961,0.004957
242,-0.001185,0.042425,0.004957
243,0.020901,0.041972,0.004957
244,0.041426,0.041752,0.004957
245,0.058571,0.041838,0.004957
246,0.070853,0.042200,0.004957
247,0.077366,0.042716,0.004957
248,0.077763,0.043224,0.004957
249,0.072067,0.043570,0.004957
250,0.060606,0.043649,0.004957
251,0.044143,0.043435,0.004957
252,0.024009,0.042992,0.004957
253,0.001980,0.042456,0.004957
254,-0.020062,0.041997,0.005210
255,-0.040406,0.041761,0.005210
256,-0.057577,0.041827,0.005210
257,-0.070268,0.042175,0.005210
258,-0.077365,0.042692,0.005210
259,-0.078137,0.043210,0.005210
260,-0.072493,0.043567,0.005210
261,-0.061031,0.043655,0.005210
262,-0.044810,0.043452,0.005210
263,-0.025093,0.043017,0.005210
264,-0.003301,0.042482,0.005210
265,0.018901,0.042015,0.005210
266,0.039643,0.041768,0.005210
267,0.057104,0.041824,0.005210
268,0.069840,0.042161,0.005210
269,0.076956,0.042668,0.005210
270,0.078018,0.043184,0.005210
271,0.072925,0.043552,0.005210
272,0.061933,0.043659,0.005210
273,0.045826,0.043471,0.005210
274,0.025969,0.043044,0.005210
275,0.004108,0.042510,0.005210
276,-0.017950,0.042036,0.005473
277,-0.038542,0.041774,0.005473
278,-0.056146,0.041810,0.005473
279,-0.069352,0.042136,0.005473
280,-0.076968,0.042644,0.005473
281,-0.078276,0.043168,0.005473
282,-0.073217,0.043544,0.005473
283,-0.062336,0.043660,0.005473
284,-0.046574,0.043483,0.005473
285,-0.027113,0.043066,0.005473
286,-0.005383,0.042534,0.005473
287,0.016896,0.042053,0.005473
288,0.037820,0.041781,0.005473
289,0.055590,0.041807,0.005473
290,0.068798,0.042119,0.005473
291,0.076519,0.042616,0.005473
