# M6 v11 canonical neutral chaoiton profile beta(r)
# ODE: beta'' + (2/r)beta' - (2/r^2)beta + lambda*beta + 4g*beta^3 = 0
"# g = 1.0, lambda = -0.26469686, m_J_raw = sqrt(-lambda) = 0.51448699"
"# eta = 0.42511430, H/Q_spherical = 2.11756090"
"# m_chi = 0.460004 MeV, m_J = 0.618427 MeV, C = 770.16 MeV*fm"
# natural length unit R_phys = hbar*c/m_e = 386.1593 fm
r_natural,r_fm,beta_natural,dbeta_dr_natural
0.02000000,7.7232,1.0000993268e-02,5.0004966338e-01
0.02679959,10.3489,1.3401184956e-02,5.0006638838e-01
0.03359919,12.9746,1.6801491677e-02,5.0008407216e-01
0.04039878,15.6004,2.0201927714e-02,5.0010455984e-01
0.04719837,18.2261,2.3602514070e-02,5.0012832594e-01
0.05399797,20.8518,2.7003273616e-02,5.0015551291e-01
0.06079756,23.4775,3.0404229771e-02,5.0018615675e-01
0.06759715,26.1033,3.3805406032e-02,5.0022025109e-01
0.07439674,28.7290,3.7206825780e-02,5.0025776903e-01
0.08119634,31.3547,4.0608512167e-02,5.0029867173e-01
0.08799593,33.9804,4.4010488051e-02,5.0034291204e-01
0.09479552,36.6062,4.7412775949e-02,5.0039043624e-01
0.10159512,39.2319,5.0815397991e-02,5.0044118488e-01
0.10839471,41.8576,5.4218375882e-02,5.0049509326e-01
0.11519430,44.4833,5.7621730872e-02,5.0055209168e-01
0.12199390,47.1091,6.1025483725e-02,5.0061210564e-01
0.12879349,49.7348,6.4429654680e-02,5.0067505583e-01
0.13559308,52.3605,6.7834263417e-02,5.0074085820e-01
0.14239267,54.9863,7.1239329027e-02,5.0080942400e-01
0.14919227,57.6120,7.4644869987e-02,5.0088065983e-01
0.15599186,60.2377,7.8050904124e-02,5.0095446763e-01
0.16279145,62.8634,8.1457448581e-02,5.0103074467e-01
0.16959105,65.4892,8.4864519784e-02,5.0110938354e-01
0.17639064,68.1149,8.8272133410e-02,5.0119027213e-01
0.18319023,70.7406,9.1680304361e-02,5.0127329370e-01
0.18998983,73.3663,9.5089046736e-02,5.0135832685e-01
0.19678942,75.9921,9.8498373789e-02,5.0144524549e-01
0.20358901,78.6178,1.0190829789e-01,5.0153391880e-01
0.21038860,81.2435,1.0531883052e-01,5.0162421126e-01
0.21718820,83.8692,1.0872998221e-01,5.0171598269e-01
0.22398779,86.4950,1.1214176252e-01,5.0180908820e-01
0.23078738,89.1207,1.1555418003e-01,5.0190337818e-01
0.23758698,91.7464,1.1896724227e-01,5.0199869825e-01
0.24438657,94.3721,1.2238095569e-01,5.0209488933e-01
0.25118616,96.9979,1.2579532567e-01,5.0219178760e-01
0.25798576,99.6236,1.2921035645e-01,5.0228922450e-01
0.26478535,102.2493,1.3262605111e-01,5.0238702674e-01
0.27158494,104.8750,1.3604241152e-01,5.0248501622e-01
0.27838453,107.5008,1.3945943833e-01,5.0258301007e-01
0.28518413,110.1265,1.4287713094e-01,5.0268082069e-01
0.29198372,112.7522,1.4629548747e-01,5.0277825570e-01
